Nombre,Descripcion,Unidad,ID_Proveedor
Cemento bolsa Holcim,Bolsa de cemento portland de 50kg marca Holcim,un,8
Cemento alb bolsa Holcim,Bolsa de cemento de albañileria de 40kg marca Holcim,un,6
Tirante 3x3 anchico,Tirante de madera de 3 pulg x 3 pulg x 10 m de anchico,un,1
Fenolico 18,Fenolico de 1.22m x 2.44 m de 18mm de espesor ,un,10
Clavos 2 1/2,bolsa de clavos de 2 1/2 pulg,kg,2
Loseta de hormigón, loseta premoldeada de 40cm x 40cm ,m2,6
Hierro torsionado de 6mm diametro, barra de hierro torsionada de 12 m de 6mm diametro,un,4
Hierro torsionado de 8mm diametro,barra de hierro torsionada de 12 m de 8mm diametro,un,4
Hierro torsionado de 10mm diametro,barra de hierro torsionada de 12 m de 10mm diametro,un,4
Sikament R,Aditivo fluidificante para hormigon,lts,10
Sikaporo plus, Aditivo espumigeno para hormigon,lts,10
Hormigon H-17, Hormigon elaborado calidad H-17,m3,7
Hormigon H-21, Hormigon elaborado calidad H-21,M3,7
Viguetas 3m, viguetas premoldeadas de hormigon pretensadas de 3m largo,un,5
Viguetas 4m, viguetas premoldeadas de hormigon pretensadas de 4m largo,un,5
Viguetas 5m, viguetas premoldeadas de hormigon pretensadas de 5m largo,un,5
Chapa sinusoidal T101, chapa sinusoidal formato T101 por metro,m,4
Alambre negro N16, Alambre de hierro dulce calibre 16,kg,2
Alambre negro N9, Alambre de hierro dulce calibre 9,kg,2
