Nombre,Direccion,Telefono,Rubro
Proveedor A,Calle de Proveedores 1,1000000001,Materiales de Construcción
Proveedor B,Calle de Proveedores 2,1000000002,Maquinaria Pesada
Proveedor C,Calle de Proveedores 3,1000000003,Materiales de Construcción
Proveedor D,Calle de Proveedores 4,1000000004,Maquinaria para Construcción
Proveedor E,Calle de Proveedores 5,1000000005,Materiales de Construcción
Proveedor F,Calle de Proveedores 6,1000000006,Equipos de Construcción
Proveedor G,Calle de Proveedores 7,1000000007,Maquinaria de Construcción
Proveedor H,Calle de Proveedores 8,1000000008,Materiales de Construcción
Proveedor I,Calle de Proveedores 9,1000000009,Maquinaria y Herramientas
Proveedor J,Calle de Proveedores 10,1000000010,Materiales de Construcción
Proveedor K,Calle de Proveedores 11,1000000011,Equipos de Construcción
Proveedor L,Calle de Proveedores 12,1000000012,Maquinaria Pesada
Proveedor M,Calle de Proveedores 13,1000000013,Materiales de Construcción
Proveedor N,Calle de Proveedores 14,1000000014,Maquinaria para Construcción
Proveedor O,Calle de Proveedores 15,1000000015,Materiales de Construcción
Proveedor P,Calle de Proveedores 16,1000000016,Equipos y Herramientas
Proveedor Q,Calle de Proveedores 17,1000000017,Maquinaria de Construcción
Proveedor R,Calle de Proveedores 18,1000000018,Materiales de Construcción
Proveedor S,Calle de Proveedores 19,1000000019,Maquinaria Pesada
Proveedor T,Calle de Proveedores 20,1000000020,Materiales de Construcción
Proveedor U,Calle de Proveedores 21,1000000021,Equipos para Construcción
Proveedor V,Calle de Proveedores 22,1000000022,Materiales de Construcción
Proveedor W,Calle de Proveedores 23,1000000023,Maquinaria de Construcción
Proveedor X,Calle de Proveedores 24,1000000024,Materiales de Construcción
Proveedor Y,Calle de Proveedores 25,1000000025,Maquinaria para Construcción
Proveedor Z,Calle de Proveedores 26,1000000026,Materiales de Construcción
Proveedor AA,Calle de Proveedores 27,1000000027,Equipos de Construcción
Proveedor BB,Calle de Proveedores 28,1000000028,Maquinaria Pesada
Proveedor CC,Calle de Proveedores 29,1000000029,Materiales de Construcción
Proveedor DD,Calle de Proveedores 30,1000000030,Equipos y Herramientas
Proveedor EE,Calle de Proveedores 31,1000000031,Materiales de Construcción
Proveedor FF,Calle de Proveedores 32,1000000032,Maquinaria para Construcción
Proveedor GG,Calle de Proveedores 33,1000000033,Materiales de Construcción
Proveedor HH,Calle de Proveedores 34,1000000034,Equipos de Construcción
Proveedor II,Calle de Proveedores 35,1000000035,Maquinaria de Construcción
Proveedor JJ,Calle de Proveedores 36,1000000036,Materiales de Construcción
Proveedor KK,Calle de Proveedores 37,1000000037,Maquinaria Pesada
Proveedor LL,Calle de Proveedores 38,1000000038,Materiales de Construcción
Proveedor MM,Calle de Proveedores 39,1000000039,Equipos y Herramientas
Proveedor NN,Calle de Proveedores 40,1000000040,Materiales de Construcción
